Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
88,Anthony Veneziano*,25,OMA,AAA,KCR,5,4,0.556,4.22,4.42,18,17,0,0,0,0,89.2,83,44,42,9,43,0,79,2,0,5,383,1.405,8.3,0.9,4.3,7.9,1.84
89,Greg Weissert,28,SWB,AAA,NYY,5,3,0.625,2.9,4.02,38,0,28,0,0,10,40.1,27,18,13,5,17,0,58,1,0,1,169,1.091,6,1.1,3.8,12.9,3.41
90,Josh Winder,26,STP,AAA,MIN,5,3,0.625,6.16,6.46,18,0,10,0,0,2,30.2,39,22,21,5,19,2,39,1,0,4,146,1.891,11.4,1.5,5.6,11.4,2.05
91,Shaun Anderson,28,LHV,AAA,PHI,4,2,0.667,4.85,5.19,11,11,0,0,0,0,52,59,30,28,11,15,0,35,2,0,1,231,1.423,10.2,1.9,2.6,6.1,2.33
92,Andrew Bash,26,BFL,AAA,TOR,4,1,0.8,2.22,2.59,13,9,2,0,0,0,48.2,30,14,12,6,23,0,38,2,0,1,190,1.089,5.5,1.1,4.3,7,1.65
93,Eduard Bazardo,27,NFK,AAA,BAL,4,1,0.8,3.05,3.29,27,1,5,0,0,2,38.1,31,14,13,1,11,0,43,4,0,0,158,1.096,7.3,0.2,2.6,10.1,3.91
94,Cam Booser*,31,WOR,AAA,BOS,4,3,0.571,4.99,5.93,48,0,14,0,0,1,57.2,54,38,32,11,24,0,66,1,0,7,247,1.353,8.4,1.7,3.7,10.3,2.75
95,Matt Bowman,32,SWB,AAA,NYY,4,1,0.8,3.99,4.6,49,0,19,0,0,5,58.2,51,30,26,5,30,0,58,3,0,3,257,1.381,7.8,0.8,4.6,8.9,1.93
96,Michael Boyle*,29,STP,AAA,MIN,4,3,0.571,5.15,5.4,30,1,5,0,0,0,36.2,24,22,21,6,27,1,37,2,2,2,163,1.391,5.9,1.5,6.6,9.1,1.37
97,Silvino Bracho,30,LOU,AAA,CIN,4,3,0.571,5.51,5.86,47,1,9,0,0,3,50.2,50,33,31,18,20,0,52,1,1,0,217,1.382,8.9,3.2,3.6,9.2,2.6
98,Trevor Brigden,27,DHM,AAA,TBR,4,4,0.5,3.46,3.81,44,2,10,0,0,2,78,55,33,30,9,40,1,95,3,1,3,329,1.218,6.3,1,4.6,11,2.38
99,Blair Calvo,27,TOL,AAA,DET,4,3,0.571,6.95,6.95,29,0,5,0,0,0,33.2,34,26,26,4,34,0,36,5,0,2,164,2.02,9.1,1.1,9.1,9.6,1.06
100,Alex Colomé,34,CHR,AAA,CHW,4,1,0.8,3.24,4.86,33,0,16,0,0,2,33.1,38,18,12,2,15,0,26,2,1,3,156,1.59,10.3,0.5,4.1,7,1.73
